Sample Number,Year,Area,Vessel,Pot,Sex,Legal,Carapace length,Carapace width,Coxa walking leg 1 RIGHT,Coxa walking leg 2 RIGHT,Coxa walking leg 3 RIGHT,Coxa walking leg 1 LEFT,Coxa walking leg 2 LEFT,Coxa walking leg 3 LEFT,Comments,QC,Data Recorder,Samplers,CW Size Bin
651,2025,St James Bay,Medeia,14,M,Sublegal,120,140,23,24,25,24,24,25,,Y,,,140-149
88,2017,Excursion,Medeia,,M,Sublegal,112,141,26,27,26,25,27,25,,,,,140-149
94,2017,Excursion,Medeia,,M,Sublegal,119,141,29,29,29,29,26,28,,,,,140-149
4,2025,Juneau,Medeia,3,M,Sublegal,121,141,24,24,23,22,23,23,,AGR,SYW,"AGR, SM, TJ",140-149
190,2025,Juneau,Medeia,13,M,Sublegal,119,141,24,25,24,24,25,26,R3 MISSING LEG,TJ,SYW,"AGR, SM, TJ",140-149
445,2025,St James Bay,Medeia,2,M,Sublegal,114,141,21,22,23,22,24,24,R1 REGENERATED,,,,140-149
632,2025,St James Bay,Medeia,9,M,Sublegal,120,141,24,24,23,24,24,22,,Y,,,140-149
105,2017,Excursion,Medeia,,M,Sublegal,117,142,26,27,26,27,28,26,,,,,140-149
57,2017,Excursion,Medeia,,M,Sublegal,116,142,26,27,26,26,26,26,,,,,140-149
64,2025,Juneau,Medeia,6,M,Sublegal,120,142,23,25,26,26,26,26,,AGR,SYW,"AGR, SM, TJ",140-149
181,2025,Juneau,Medeia,11,M,Sublegal,120,142,24,24,25,25,25,25,,TJ,SYW,"AGR, SM, TJ",140-149
218,2025,Juneau,Medeia,14,M,Sublegal,121,142,26,26,26,26,27,25,,TJ,SYW,"AGR, SM, TJ",140-149
231,2025,Juneau,Medeia,14,M,Sublegal,118,142,24,26,26,24,26,26,,TJ,SYW,"AGR, SM, TJ",140-149
244,2025,Juneau,Medeia,15,M,Sublegal,116,142,24,26,25,24,25,25,,TJ,SYW,"AGR, SM, TJ",140-149
98,2017,Excursion,Medeia,,M,Sublegal,115,143,26,28,26,26,27,25,,,,,140-149
132,2017,Excursion,Medeia,,M,Sublegal,124,143,28,29,28,28,27,28,,,,,140-149
194,2025,Juneau,Medeia,13,M,Sublegal,124,143,24,24,25,24,24,26,,TJ,SYW,"AGR, SM, TJ",140-149
250,2025,Juneau,Medeia,15,M,Sublegal,121,143,24,25,25,23,25,26,,TJ,SYW,"AGR, SM, TJ",140-149
422,2025,St James Bay,Medeia,6,M,Sublegal,129,143,25,28,28,29,28,26,,,,,140-149
117,2017,Excursion,Medeia,,M,Sublegal,121,144,27,27,26,27,28,28,,,,,140-149
6,2017,Peril Strait,Medeia,,M,Sublegal,117,144,26,26,26,27,27,26,,,,,140-149
57,2025,Juneau,Medeia,6,M,Sublegal,120,144,24,24,25,24,25,25,,AGR,SYW,"AGR, SM, TJ",140-149
197,2025,Juneau,Medeia,13,M,Sublegal,121,144,25,26,25,25,25,26,,TJ,SYW,"AGR, SM, TJ",140-149
199,2025,Juneau,Medeia,13,M,Sublegal,121,144,24,25,25,25,26,26,,TJ,SYW,"AGR, SM, TJ",140-149
208,2025,Juneau,Medeia,13,M,Sublegal,119,144,24,26,25,23,24,24,,TJ,SYW,"AGR, SM, TJ",140-149
223,2025,Juneau,Medeia,14,M,Sublegal,121,144,24,26,26,24,26,26,,TJ,SYW,"AGR, SM, TJ",140-149
243,2025,Juneau,Medeia,15,M,Sublegal,124,144,23,24,24,24,24,25,L1 REGENERATED,TJ,SYW,"AGR, SM, TJ",140-149
406,2025,St James Bay,Medeia,5,M,Sublegal,123,144,25,26,26,25,25,26,,,,,140-149
425,2025,St James Bay,Medeia,6,M,Sublegal,128,144,26,26,27,27,26,27,,,,,140-149
541,2025,St James Bay,Medeia,11,M,Sublegal,118,144,24,24,25,23,24,24,L3 REGENERATED,,,,140-149
618,2025,St James Bay,Medeia,5,M,Sublegal,123,144,24,25,27,23,25,26,,Y,,,140-149
63,2017,Excursion,Medeia,,M,Sublegal,119,145,25,27,26,25,27,25,,,,,140-149
64,2017,Excursion,Medeia,,M,Sublegal,119,145,27,27,26,26,28,27,,,,,140-149
102,2017,Excursion,Medeia,,M,Sublegal,119,145,27,28,26,27,28,26,,,,,140-149
11,2017,Peril Strait,Medeia,,M,Sublegal,120,145,28,29,28,28,30,28,,,,,140-149
66,2025,Juneau,Medeia,6,M,Sublegal,130,145,25,26,27,26,26,29,,AGR,SYW,"AGR, SM, TJ",140-149
151,2025,Juneau,Medeia,9,M,Sublegal,121,145,24,26,26,25,25,27,,TJ,SYW,"AGR, SM, TJ",140-149
205,2025,Juneau,Medeia,13,M,Sublegal,121,145,24,24,25,24,25,24,,TJ,SYW,"AGR, SM, TJ",140-149
487,2025,St James Bay,Medeia,8,M,Sublegal,119,145,26,27,26,25,25,25,,,,,140-149
84,2017,Excursion,Medeia,,M,Sublegal,124,146,27,28,26,27,28,29,,,,,140-149
24,2017,Peril Strait,Medeia,,M,Sublegal,118,146,26,28,26,26,28,26,,,,,140-149
246,2025,Juneau,Medeia,15,M,Sublegal,121,146,23,24,24,23,24,24,,TJ,SYW,"AGR, SM, TJ",140-149
248,2025,Juneau,Medeia,15,M,Sublegal,124,146,25,26,25,24,24,26,,TJ,SYW,"AGR, SM, TJ",140-149
546,2025,St James Bay,Medeia,12,M,Sublegal,123,146,24,27,27,26,24,26,,,,,140-149
574,2025,St James Bay,Medeia,4,M,Sublegal,126,146,25,26,26,25,25,26,,,,,140-149
110,2017,Excursion,Medeia,,M,Sublegal,124,147,27,28,26,27,28,27,,,,,140-149
114,2017,Excursion,Medeia,,M,Sublegal,124,147,28,29,28,28,30,28,,,,,140-149
203,2025,Juneau,Medeia,13,M,Sublegal,122,147,26,26,26,24,26,26,,TJ,SYW,"AGR, SM, TJ",140-149
551,2025,St James Bay,Medeia,13,M,Sublegal,120,147,26,27,26,24,26,26,,,,,140-149
73,2017,Excursion,Medeia,,M,Sublegal,125,148,26,27,27,27,28,27,,,,,140-149
254,2025,Juneau,Medeia,4,M,Sublegal,132,148,27,27,27,27,27,27,,,SYW,"AGR, SM",140-149
482,2025,St James Bay,Medeia,2,M,Sublegal,125,148,25,26,27,24,26,26,,,,,140-149
537,2025,St James Bay,Medeia,11,M,Sublegal,125,148,26,27,28,27,26,27,,,,,140-149
549,2025,St James Bay,Medeia,13,M,Sublegal,124,148,26,27,26,25,27,27,,,,,140-149
644,2025,St James Bay,Medeia,13,M,Sublegal,125,148,25,26,26,25,25,26,,Y,,,140-149
139,2017,Excursion,Medeia,,M,Sublegal,121,149,26,28,27,27,29,28,,,,,140-149
191,2025,Juneau,Medeia,13,M,Sublegal,134,149,27,28,27,26,28,27,,TJ,SYW,"AGR, SM, TJ",140-149
196,2025,Juneau,Medeia,13,M,Sublegal,126,149,25,27,27,25,27,26,,TJ,SYW,"AGR, SM, TJ",140-149
209,2025,Juneau,Medeia,13,M,Sublegal,127,149,24,25,25,25,26,25,,TJ,SYW,"AGR, SM, TJ",140-149
241,2025,Juneau,Medeia,15,M,Sublegal,124,149,25,26,25,25,25,25,,TJ,SYW,"AGR, SM, TJ",140-149
540,2025,St James Bay,Medeia,11,M,Sublegal,125,149,26,27,26,24,25,26,,,,,140-149
630,2025,St James Bay,Medeia,8,M,Sublegal,123,149,25,25,26,24,23,26,L2 MISSING,Y,,,140-149
65,2017,Excursion,Medeia,,M,Sublegal,124,150,27,28,27,27,28,27,,,,,150-159
112,2017,Excursion,Medeia,,M,Sublegal,126,150,27,29,28,30,30,28,,,,,150-159
83,2017,Excursion,Medeia,,M,Sublegal,122,150,27,27,26,27,27,27,,,,,150-159
228,2025,Juneau,Medeia,14,M,Sublegal,123,150,24,24,23,25,25,26,,TJ,SYW,"AGR, SM, TJ",150-159
275,2025,Juneau,Medeia,4,M,Sublegal,127,150,27,28,28,27,27,28,,,SYW,"AGR, SM, CS SYW",150-159
489,2025,St James Bay,Medeia,8,M,Sublegal,122,150,27,26,26,26,27,27,,,,,150-159
513,2025,St James Bay,Medeia,9,M,Sublegal,129,150,22,23,27,23,24,25,,,,,150-159
538,2025,St James Bay,Medeia,11,M,Sublegal,124,150,27,27,27,26,27,27,,,,,150-159
547,2025,St James Bay,Medeia,12,M,Sublegal,123,150,26,26,25,25,26,26,,,,,150-159
81,2017,Excursion,Medeia,,M,Sublegal,124,151,28,29,28,29,29,29,,,,,150-159
29,2017,Peril Strait,Medeia,,M,Sublegal,126,151,29,30,29,30,31,28,,,,,150-159
5,2025,Juneau,Medeia,3,M,Sublegal,128,151,27,28,28,26,28,26,,AGR,SYW,"AGR, SM, TJ",150-159
29,2025,Juneau,Medeia,5,M,Sublegal,129,151,25,27,27,25,28,28,,AGR,SYW,"AGR, SM, TJ",150-159
161,2025,Juneau,Medeia,10,M,Sublegal,129,151,26,28,27,26,28,29,,TJ,SYW,"AGR, SM, TJ",150-159
242,2025,Juneau,Medeia,15,M,Sublegal,124,151,26,27,27,24,26,26,,TJ,SYW,"AGR, SM, TJ",150-159
247,2025,Juneau,Medeia,15,M,Sublegal,126,151,26,26,24,25,26,27,L1+L3 REGENERATED,TJ,SYW,"AGR, SM, TJ",150-159
274,2025,Juneau,Medeia,4,M,Sublegal,129,151,26,26,27,26,24,26,,,SYW,"AGR, SM",150-159
276,2025,Juneau,Medeia,4,M,Sublegal,129,151,27,27,28,27,26,27,,,"SYW, AGR","AGR, SM, CS SYW",150-159
502,2025,St James Bay,Medeia,8,M,Sublegal,127,151,24,27,25,24,25,25,"R1, L2 REGENERATED",,,,150-159
300,2025,Juneau,Medeia,3,M,Sublegal,126,152,24,25,26,25,27,27,,,"SYW, AGR","AGR, SM, CS SYW",150-159
331,2025,Juneau,Medeia,14,M,Sublegal,134,152,26,27,28,27,29,28,,,"SYW, AGR","AGR, SM, CS SYW",150-159
431,2025,St James Bay,Medeia,6,M,Sublegal,129,152,27,28,28,25,28,28,,,,,150-159
448,2025,St James Bay,Medeia,2,M,Sublegal,133,152,28,27,27,27,29,28,R3 REGENERATED,,,,150-159
501,2025,St James Bay,Medeia,8,M,Sublegal,122,152,24,26,27,24,25,26,,,,,150-159
539,2025,St James Bay,Medeia,11,M,Sublegal,129,152,26,27,27,26,27,27,,,,,150-159
89,2017,Excursion,Medeia,,M,Sublegal,127,153,29,30,28,28,30,28,,,,,150-159
124,2017,Excursion,Medeia,,M,Sublegal,128,153,29,30,28,28,30,30,,,,,150-159
10,2017,Peril Strait,Medeia,,M,Sublegal,129,153,28,30,28,28,31,29,,,,,150-159
70,2025,Juneau,Medeia,6,M,Sublegal,132,153,27,29,27,27,26,29,,AGR,SYW,"AGR, SM, TJ",150-159
206,2025,Juneau,Medeia,13,M,Sublegal,130,153,26,27,27,26,26,28,,TJ,SYW,"AGR, SM, TJ",150-159
210,2025,Juneau,Medeia,13,M,Sublegal,129,153,27,28,27,26,28,28,R3 NO LEG,TJ,SYW,"AGR, SM, TJ",150-159
433,2025,St James Bay,Medeia,2,M,Sublegal,137,153,28,29,28,27,28,29,L2 MISSING,,,,150-159
467,2025,St James Bay,Medeia,2,M,Sublegal,128,153,27,25,28,24,24,25,,,,,150-159
477,2025,St James Bay,Medeia,2,M,Sublegal,126,153,26,27,26,26,27,28,,,,,150-159
503,2025,St James Bay,Medeia,8,M,Sublegal,126,153,26,26,26,26,25,27,,,,,150-159
570,2025,St James Bay,Medeia,15,M,Sublegal,124,153,26,26,26,25,25,26,,,,,150-159
50,2017,Excursion,Medeia,,M,Sublegal,127,154,25,29,28,29,30,30,,,,,150-159
46,2017,Excursion,Medeia,,M,Sublegal,129,154,29,31,30,29,30,30,,,,,150-159
109,2017,Excursion,Medeia,,M,Sublegal,124,154,30,31,30,30,32,30,,,,,150-159
31,2025,Juneau,Medeia,5,M,Sublegal,130,154,27,26,28,26,26,24,,AGR,SYW,"AGR, SM, TJ",150-159
239,2025,Juneau,Medeia,15,M,Sublegal,128,154,27,26,26,27,25,27,,TJ,SYW,"AGR, SM, TJ",150-159
466,2025,St James Bay,Medeia,2,M,Sublegal,130,154,25,27,26,28,28,28,R3 REGENERATED,,,,150-159
495,2025,St James Bay,Medeia,8,M,Sublegal,127,154,26,27,28,24,25,27,,,,,150-159
172,2017,Excursion,Medeia,,M,Sublegal,123,155,27,28,27,28,30,28,,,,,150-159
96,2017,Excursion,Medeia,,M,Sublegal,124,155,28,29,28,28,30,27,,,,,150-159
48,2017,Excursion,Medeia,,M,Sublegal,129,155,28,30,29,27,30,30,,,,,150-159
193,2017,St James Bay,Medeia,,M,Sublegal,126,155,29,30,28,29,30,28,,,,,150-159
61,2025,Juneau,Medeia,6,M,Sublegal,126,155,27,28,27,26,28,28,,AGR,SYW,"AGR, SM, TJ",150-159
221,2025,Juneau,Medeia,14,M,Sublegal,134,155,27,27,28,27,27,28,,TJ,SYW,"AGR, SM, TJ",150-159
229,2025,Juneau,Medeia,14,M,Sublegal,134,155,26,27,27,27,27,28,,TJ,SYW,"AGR, SM, TJ",150-159
270,2025,Juneau,Medeia,4,M,Sublegal,133,155,26,28,30,28,28,31,,,SYW,"AGR, SM",150-159
297,2025,Juneau,Medeia,3,M,Sublegal,137,155,28,28,28,28,29,30,,,"SYW, AGR","AGR, SM, CS SYW",150-159
419,2025,St James Bay,Medeia,5,M,Sublegal,139,155,30,30,33,28,32,33,,,,,150-159
488,2025,St James Bay,Medeia,8,M,Sublegal,128,155,27,28,27,27,27,28,,,,,150-159
61,2017,Excursion,Medeia,,M,Sublegal,130,156,29,30,28,30,31,28,,,,,150-159
160,2017,Excursion,Medeia,,M,Sublegal,130,156,30,30,28,28,30,28,,,,,150-159
97,2017,Excursion,Medeia,,M,Sublegal,132,156,31,32,30,30,31,30,,,,,150-159
33,2025,Juneau,Medeia,5,M,Sublegal,129,156,27,27,27,26,25,26,r2 missing leg,AGR,SYW,"AGR, SM, TJ",150-159
138,2025,Juneau,Medeia,9,M,Sublegal,137,156,27,29,28,28,29,31,,AGR,SYW,"AGR, SM, TJ",150-159
170,2025,Juneau,Medeia,11,M,Sublegal,134,156,28,28,28,28,28,28,,TJ,SYW,"AGR, SM, TJ",150-159
219,2025,Juneau,Medeia,14,M,Sublegal,134,156,28,28,29,28,28,29,,TJ,SYW,"AGR, SM, TJ",150-159
453,2025,St James Bay,Medeia,2,M,Sublegal,127,156,27,28,28,27,27,28,L1 REGENERATED,,,,150-159
497,2025,St James Bay,Medeia,8,M,Sublegal,128,156,26,26,26,26,27,27,,,,,150-159
534,2025,St James Bay,Medeia,11,M,Sublegal,131,156,26,27,28,26,27,28,,,,,150-159
542,2025,St James Bay,Medeia,12,M,Sublegal,133,156,25,27,27,27,27,27,,,,,150-159
192,2017,St James Bay,Medeia,,M,Sublegal,130,157,28,28,28,27,29,28,,,,,150-159
441,2025,St James Bay,Medeia,2,M,Sublegal,140,157,28,30,30,28,30,30,,,,,150-159
518,2025,St James Bay,Medeia,10,M,Sublegal,135,157,27,28,29,29,28,29,,,,,150-159
523,2025,St James Bay,Medeia,10,M,Sublegal,129,157,27,28,28,28,27,28,,,,,150-159
525,2025,St James Bay,Medeia,11,M,Sublegal,126,157,26,25,25,25,26,26,,,,,150-159
573,2025,St James Bay,Medeia,3,M,Sublegal,132,157,28,27,26,29,30,29,R3 REGENERATED,,,,150-159
99,2017,Excursion,Medeia,,M,Sublegal,122,158,26,28,27,27,28,27,,,,,150-159
195,2017,St James Bay,Medeia,,M,Sublegal,129,158,29,30,28,28,29,28,,,,,150-159
42,2025,Juneau,Medeia,5,M,Sublegal,129,158,25,26,27,26,24,27,,AGR,SYW,"AGR, SM, TJ",150-159
303,2025,Juneau,Medeia,3,M,Sublegal,129,158,27,28,29,27,28,28,,,"SYW, AGR","AGR, SM, CS SYW",150-159
388,2025,St James Bay,Medeia,5,M,Sublegal,134,158,28,29,29,28,29,29,,,,,150-159
428,2025,St James Bay,Medeia,6,M,Sublegal,134,158,28,30,30,27,30,36,,,,,150-159
500,2025,St James Bay,Medeia,8,M,Sublegal,128,158,27,27,27,27,28,28,,,,,150-159
511,2025,St James Bay,Medeia,9,M,Sublegal,131,158,28,29,29,28,29,28,,,,,150-159
175,2017,Excursion,Medeia,,M,Sublegal,128,159,28,29,28,29,30,29,,,,,150-159
55,2017,Excursion,Medeia,,M,Sublegal,130,159,29,30,29,27,30,27,,,,,150-159
143,2017,Excursion,Medeia,,M,Sublegal,135,159,30,32,31,30,31,31,,,,,150-159
268,2025,Juneau,Medeia,4,M,Sublegal,142,159,30,30,30,29,31,31,,,SYW,"AGR, SM",150-159
298,2025,Juneau,Medeia,3,M,Sublegal,134,159,27,27,27,27,28,28,,,"SYW, AGR","AGR, SM, CS SYW",150-159
302,2025,Juneau,Medeia,3,M,Sublegal,134,159,27,28,28,27,28,28,,,"SYW, AGR","AGR, SM, CS SYW",150-159
408,2025,St James Bay,Medeia,5,M,Sublegal,134,159,24,29,29,27,28,28,,,,,150-159
475,2025,St James Bay,Medeia,2,M,Sublegal,133,159,29,29,28,28,29,29,,,,,150-159
499,2025,St James Bay,Medeia,8,M,Sublegal,134,159,28,26,25,28,28,29,R3 REGENERATED,,,,150-159
524,2025,St James Bay,Medeia,10,M,Sublegal,134,159,27,29,29,28,27,28,,,,,150-159
116,2017,Excursion,Medeia,,M,Sublegal,133,160,30,31,29,29,30,31,,,,,160-169
145,2025,Juneau,Medeia,9,M,Sublegal,102,160,19,19,20,20,20,20,,AGR,SYW,"AGR, SM, TJ",160-169
249,2025,Juneau,Medeia,15,M,Sublegal,140,160,28,28,29,29,28,29,,TJ,SYW,"AGR, SM, TJ",160-169
312,2025,Juneau,Medeia,15,M,Sublegal,134,160,27,29,28,27,27,28,,,"SYW, AGR","AGR, SM, CS SYW",160-169
389,2025,St James Bay,Medeia,5,M,Sublegal,134,160,27,28,28,26,27,28,,,,,160-169
427,2025,St James Bay,Medeia,6,M,Sublegal,134,160,27,27,28,27,28,27,,,,,160-169
461,2025,St James Bay,Medeia,2,M,Sublegal,135,160,27,28,28,27,29,27,,,,,160-169
505,2025,St James Bay,Medeia,8,M,Sublegal,134,160,26,27,29,27,27,28,R2 REGENERATED,,,,160-169
522,2025,St James Bay,Medeia,10,M,Sublegal,132,160,27,28,28,27,28,28,,,,,160-169
122,2017,Excursion,Medeia,,M,Sublegal,129,161,30,29,27,29,30,29,,,,,160-169
79,2017,Excursion,Medeia,,M,Sublegal,137,161,31,33,32,31,32,32,,,,,160-169
62,2025,Juneau,Medeia,6,M,Sublegal,135,161,28,27,28,28,30,29,,AGR,SYW,"AGR, SM, TJ",160-169
464,2025,St James Bay,Medeia,2,M,Sublegal,137,161,27,28,29,28,28,29,,,,,160-169
490,2025,St James Bay,Medeia,8,M,Sublegal,137,161,29,30,29,29,30,30,,,,,160-169
56,2017,Excursion,Medeia,,M,Sublegal,136,162,29,31,30,31,32,30,,,,,160-169
128,2017,Excursion,Medeia,,M,Sublegal,134,162,30,30,29,29,31,29,,,,,160-169
47,2017,Excursion,Medeia,,M,Sublegal,140,162,30,34,30,31,32,31,,,,,160-169
62,2017,Excursion,Medeia,,M,Sublegal,129,162,30,31,29,31,32,31,,,,,160-169
130,2025,Juneau,Medeia,9,M,Sublegal,138,162,30,29,29,30,30,29,,AGR,SYW,"AGR, SM, TJ",160-169
265,2025,Juneau,Medeia,4,M,Sublegal,140,162,31,30,30,32,32,32,,,SYW,"AGR, SM",160-169
267,2025,Juneau,Medeia,4,M,Sublegal,139,162,29,29,29,29,31,27,L3 REGENERATED,,SYW,"AGR, SM",160-169
271,2025,Juneau,Medeia,4,M,Sublegal,141,162,28,28,28,27,28,29,,,SYW,"AGR, SM",160-169
279,2025,Juneau,Medeia,3,M,Sublegal,143,162,27,29,30,28,30,30,,,"SYW, AGR","AGR, SM, CS SYW",160-169
286,2025,Juneau,Medeia,3,M,Sublegal,137,162,28,28,30,27,30,30,,,"SYW, AGR","AGR, SM, CS SYW",160-169
299,2025,Juneau,Medeia,3,M,Sublegal,135,162,27,29,29,28,27,29,,,"SYW, AGR","AGR, SM, CS SYW",160-169
393,2025,St James Bay,Medeia,5,M,Sublegal,143,162,29,30,29,30,31,32,SHELL INJURY,,,,160-169
404,2025,St James Bay,Medeia,5,M,Sublegal,144,162,29,30,31,29,30,31,,,,,160-169
169,2017,Excursion,Medeia,,M,Sublegal,132,163,31,32,31,31,32,31,,,,,160-169
51,2017,Excursion,Medeia,,M,Sublegal,140,163,31,33,32,31,31,32,,,,,160-169
410,2025,St James Bay,Medeia,5,M,Sublegal,136,163,27,28,30,27,28,29,,,,,160-169
416,2025,St James Bay,Medeia,5,M,Sublegal,136,163,29,30,31,29,30,30,,,,,160-169
434,2025,St James Bay,Medeia,2,M,Sublegal,133,163,28,29,29,28,29,29,,,,,160-169
446,2025,St James Bay,Medeia,2,M,Sublegal,134,163,27,30,39,28,28,30,,,,,160-169
463,2025,St James Bay,Medeia,2,M,Sublegal,133,163,27,27,28,26,27,28,,,,,160-169
66,2017,Excursion,Medeia,,M,Sublegal,133,164,31,32,31,31,31,31,,,,,160-169
82,2017,Excursion,Medeia,,M,Sublegal,137,164,31,31,30,31,32,33,,,,,160-169
68,2025,Juneau,Medeia,6,M,Sublegal,136,164,29,29,30,30,30,29,L3 regenerated,AGR,SYW,"AGR, SM, TJ",160-169
289,2025,Juneau,Medeia,3,M,Sublegal,140,164,27,30,29,28,30,30,,,"SYW, AGR","AGR, SM, CS SYW",160-169
296,2025,Juneau,Medeia,3,M,Sublegal,139,164,28,29,29,28,29,30,,,"SYW, AGR","AGR, SM, CS SYW",160-169
301,2025,Juneau,Medeia,3,M,Sublegal,142,164,30,30,30,30,30,30,,,"SYW, AGR","AGR, SM, CS SYW",160-169
400,2025,St James Bay,Medeia,5,M,Sublegal,144,164,30,30,32,31,31,33,,,,,160-169
407,2025,St James Bay,Medeia,5,M,Sublegal,142,164,29,31,31,28,30,31,,,,,160-169
412,2025,St James Bay,Medeia,5,M,Sublegal,138,164,29,30,31,30,30,31,,,,,160-169
474,2025,St James Bay,Medeia,2,M,Sublegal,136,164,26,28,28,27,28,28,,,,,160-169
478,2025,St James Bay,Medeia,2,M,Sublegal,132,164,28,29,30,28,29,30,,,,,160-169
140,2017,Excursion,Medeia,,M,Sublegal,139,165,31,33,32,33,34,31,,,,,160-169
402,2025,St James Bay,Medeia,5,M,Sublegal,139,165,29,30,31,29,30,30,,,,,160-169
424,2025,St James Bay,Medeia,6,M,Sublegal,136,165,27,29,29,27,27,29,,,,,160-169
438,2025,St James Bay,Medeia,2,M,Sublegal,134,165,27,28,28,26,27,27,,,,,160-169
483,2025,St James Bay,Medeia,2,M,Sublegal,136,165,28,28,30,28,28,30,,,,,160-169
178,2017,Excursion,Medeia,,M,Sublegal,140,166,29,32,31,32,33,32,,,,,160-169
49,2017,Excursion,Medeia,,M,Sublegal,138,166,31,31,31,31,33,31,,,,,160-169
240,2025,Juneau,Medeia,15,M,Sublegal,142,166,29,29,29,30,30,30,,TJ,SYW,"AGR, SM, TJ",160-169
54,2017,Excursion,Medeia,,M,Sublegal,136,167,30,31,30,28,31,30,,,,,160-169
148,2017,Excursion,Medeia,,M,Sublegal,140,167,32,31,32,31,33,32,,,,,160-169
151,2017,Excursion,Medeia,,M,Sublegal,140,167,32,33,32,32,33,31,,,,,160-169
34,2025,Juneau,Medeia,5,M,Sublegal,146,167,30,30,30,30,29,29,,AGR,SYW,"AGR, SM, TJ",160-169
94,2025,Juneau,Medeia,7,M,Sublegal,142,167,29,30,30,29,30,30,,AGR,SYW,"AGR, SM, TJ",160-169
99,2025,Juneau,Medeia,7,M,Sublegal,140,167,30,31,31,29,31,30,,AGR,SYW,"AGR, SM, TJ",160-169
103,2025,Juneau,Medeia,7,M,Sublegal,140,167,27,28,28,26,26,30,L1 + L2 regenerated,AGR,SYW,"AGR, SM, TJ",160-169
215,2025,Juneau,Medeia,14,M,Sublegal,140,167,29,32,31,29,32,31,,TJ,SYW,"AGR, SM, TJ",160-169
251,2025,Juneau,Medeia,4,M,Sublegal,142,167,29,29,29,30,30,31,,,SYW,"AGR, SM",160-169
322,2025,Juneau,Medeia,15,M,Sublegal,138,167,28,30,29,27,30,29,L2 REGENERATED,,"SYW, AGR","AGR, SM, CS SYW",160-169
481,2025,St James Bay,Medeia,2,M,Sublegal,137,167,27,28,27,27,28,28,,,,,160-169
162,2017,Excursion,Medeia,,M,Sublegal,138,168,32,33,32,33,34,33,,,,,160-169
30,2017,Peril Strait,Medeia,,M,Sublegal,136,168,33,33,32,31,33,32,,,,,160-169
364,2017,Seymour,Medeia,,M,Sublegal,139,168,31,33,31,32,33,31,,,,,160-169
264,2025,Juneau,Medeia,4,M,Sublegal,140,168,29,30,31,30,31,31,,,SYW,"AGR, SM",160-169
308,2025,Juneau,Medeia,15,M,Sublegal,140,168,29,30,29,30,30,32,,,"SYW, AGR","AGR, SM, CS SYW",160-169
439,2025,St James Bay,Medeia,2,M,Sublegal,144,168,30,31,29,30,29,32,,,,,160-169
454,2025,St James Bay,Medeia,2,M,Sublegal,143,168,30,30,30,30,28,32,,,,,160-169
456,2025,St James Bay,Medeia,2,M,Sublegal,141,168,28,29,30,28,29,29,,,,,160-169
470,2025,St James Bay,Medeia,2,M,Sublegal,138,168,30,30,29,28,29,29,,,,,160-169
129,2017,Excursion,Medeia,,M,Sublegal,141,169,32,34,32,31,32,31,,,,,160-169
217,2025,Juneau,Medeia,14,M,Sublegal,143,169,29,30,31,30,30,33,,TJ,SYW,"AGR, SM, TJ",160-169
233,2025,Juneau,Medeia,14,M,Sublegal,149,169,32,33,32,31,32,32,,TJ,SYW,"AGR, SM, TJ",160-169
258,2025,Juneau,Medeia,4,M,Sublegal,144,169,28,30,30,29,30,30,,,SYW,"AGR, SM",160-169
280,2025,Juneau,Medeia,3,M,Sublegal,146,169,30,32,32,30,29,32,,,"SYW, AGR","AGR, SM, CS SYW",160-169
293,2025,Juneau,Medeia,3,M,Sublegal,142,169,29,30,29,29,29,30,,,"SYW, AGR","AGR, SM, CS SYW",160-169
390,2025,St James Bay,Medeia,5,M,Sublegal,143,169,29,30,29,29,28,30,,,,,160-169
442,2025,St James Bay,Medeia,2,M,Sublegal,132,169,29,29,28,27,29,29,R3 REGENERATED,,,,160-169
480,2025,St James Bay,Medeia,2,M,Sublegal,138,169,31,31,31,31,32,32,L3 MISSING,,,,160-169
486,2025,St James Bay,Medeia,8,M,Sublegal,144,169,30,31,30,29,29,29,,,,,160-169
494,2025,St James Bay,Medeia,8,M,Sublegal,140,169,30,31,30,28,30,31,,,,,160-169
106,2017,Excursion,Medeia,,M,Sublegal,138,170,31,32,30,30,32,32,,,,,170-179
204,2017,St James Bay,Medeia,,M,Sublegal,140,170,33,35,33,33,32,32,,,,,170-179
134,2025,Juneau,Medeia,9,M,Sublegal,146,170,31,33,31,31,31,32,,AGR,SYW,"AGR, SM, TJ",170-179
222,2025,Juneau,Medeia,14,M,Sublegal,140,170,28,30,29,29,31,31,,TJ,SYW,"AGR, SM, TJ",170-179
260,2025,Juneau,Medeia,4,M,Sublegal,142,170,29,29,33,32,32,32,,,SYW,"AGR, SM",170-179
281,2025,Juneau,Medeia,3,M,Sublegal,147,170,30,30,30,31,31,31,,,"SYW, AGR","AGR, SM, CS SYW",170-179
292,2025,Juneau,Medeia,3,M,Sublegal,144,170,29,30,31,28,31,30,,,"SYW, AGR","AGR, SM, CS SYW",170-179
391,2025,St James Bay,Medeia,5,M,Sublegal,141,170,29,30,28,30,29,28,,,,,170-179
394,2025,St James Bay,Medeia,5,M,Sublegal,142,170,,,,28,31,31,DIDN'T MEASURE RIGHT SIDE,,,,170-179
417,2025,St James Bay,Medeia,5,M,Sublegal,149,170,30,32,32,31,33,33,,,,,170-179
